method,caliper,n_matched,retention,max_smd,mean_smd,att,se,bias,mse,coverage,ci_width,replication,scenario_id,n,treatment_prevalence,overlap_name,overlap_level,confounding_name,confounding_strength
ACS-Knee,0.35,319,0.6405622489959839,0.04757657855367507,0.03128496741086632,0.564724476843645,0.09947712191883325,0.06472447684364502,0.014084955687937953,1.0,0.39143291457360574,2,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.0,364,0.7309236947791165,0.1555854204773692,0.08500816777023262,0.8722789016670812,0.09683799165481208,0.3722789016670812,0.1479691772541858,0.0,0.38086781876075926,2,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,301,0.6310272536687631,0.04648383856927102,0.022270331422489197,0.46020733666997293,0.09519725440617056,-0.03979266333002707,0.010645973301370041,1.0,0.37467792721938165,3,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,307,0.6436058700209644,0.03906674476325751,0.020173488951914446,0.4141007882669511,0.09535654274723265,-0.08589921173304887,0.01647154482106397,1.0,0.37527505179736237,3,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,319,0.6687631027253669,0.0701141922242618,0.029381870853564224,0.5023963973534522,0.09446614376032161,0.0023963973534522065,0.008929595037221382,1.0,0.3717151970963016,3,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,477,1.0,0.46827429012876964,0.3220895917805066,1.5431401982533874,0.0948103727120444,1.0431401982533874,1.0971304799859132,0.0,0.3725972232645769,3,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.7,330,0.6918238993710691,0.09883161727106474,0.046383035555211415,0.5777959438312776,0.09122715200678673,0.07779594383127764,0.014374602139868678,1.0,0.3589242315369019,3,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.45,318,0.6666666666666666,0.0531906628029879,0.02783409196901775,0.49044839553139064,0.09721353498359746,-0.009551604468609365,0.009541704531931886,1.0,0.38253052742206317,3,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.5,387,0.8113207547169812,0.2136042065395144,0.13889626541974942,0.9146857532818108,0.09207994152435978,0.4146857532818108,0.18044298960603236,0.0,0.36208204119155973,3,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,290,0.5954825462012321,0.0551034215554595,0.04057668181420495,0.44015715210905526,0.11656017099845847,-0.05984284789094474,0.01716743990688863,1.0,0.45882895736535034,4,1,1000,0.5,medium,0.6,strong,1.0
